infrared	n., adj.	적외선, 적외선의(눈에 안 보이는 열 빛)	3
ingalls	pn.	인갈스(사람의 성)	3
instrument	n.	관측 장비, 측정 기구	2
integrate	v.	통합하다, 하나로 합치다	2
intelligence	n.	지능, 정보	2
investigate	v.	조사하다, 연구하다	2
ion	n.	이온(전기를 띤 입자)	3
ionized	adj.	이온화된(전기를 띠게 된)	3
jersey	pn.	저지(미국 뉴저지주 New Jersey의 뒷말)	3
johnson	pn.	존슨 우주센터(미국 텍사스의 NASA 유인우주 기지), 존슨(성)	3
journal	n.	학술지, 학술 잡지	2
kilometers	n.	킬로미터(km)	1
kosovichev	pn.	코소비체프(태양 연구자의 성)	3
launched	v.	발사했다, 시작했다(launch의 과거형)	2
leap	n., v.	도약, 큰 진전; 뛰어오르다	2
lindsey	pn.	린지(사람의 성)	3
local	adj.	현지의, 그 지역의	1
localized	adj.	국지적인, 좁은 구역에 한정된	3
long-term	adj.	장기적인, 오랜 기간에 걸친	2
los	pn.	로스(로스앤젤레스 Los Angeles 등 지명의 앞말)	3
lower-altitude	adj.	더 낮은 고도의	3
lunar-gravity	adj.	달 중력의(달처럼 약한 중력의)	3
machine-learning	n., adj.	기계학습(컴퓨터가 자료를 보고 스스로 배우는 기술)	3
manifestations	n.	나타남, 겉으로 드러난 현상	3
manually	adv.	수동으로, 사람 손으로	2
method	n.	방법, 방식	1
mill	n.	방앗간, 제분소, 공장	2
modifications	n.	수정, 개조	2
monitor	v., n.	감시하다, 관측하다; 화면	2
nationwide	adj., adv.	전국적인, 전국에 걸쳐	2
night-shining	adj.	밤에 빛나는(야광운 noctilucent cloud를 가리킴)	3
northwestern	adj., pn.	북서부의; 노스웨스턴대학교(미국 일리노이의 대학)	3
objectives	n.	목표, 목적	2
observations	n.	관측, 관측 자료	2
oceanic	adj.	해양의, 바다의	3
office	n.	사무실, (기관의) 국·실	1
oklahoma	pn.	오클라호마(미국 중남부의 주)	3
orchestra	n.	관현악단, 오케스트라	2
oversight	n.	감독, 관리 감독	3
ownership	n.	소유, 소유권, 주인 의식	2
parabolic	adj.	포물선의(포물선 비행 = 잠깐 무중력을 만드는 비행)	3
particles	n.	입자, 아주 작은 알갱이	2
payload	n.	탑재체(로켓·위성에 실어 올리는 장비나 화물)	3
photograph	n., v.	사진; 사진을 찍다	1
potential	n., adj.	잠재력, 가능성; 잠재적인	2
pre-screening	n.	사전 선별(미리 걸러내기)	3
precursors	n.	전조, 앞서 나타나는 조짐	3
predictions	n.	예측, 예보	2
predictive	adj.	예측하는, 예측에 쓰이는	3
primarily	adv.	주로, 무엇보다도	2
princeton	pn.	프린스턴대학교(미국 뉴저지의 대학)	3
probability	n.	확률, 가능성	2
prominence	n.	홍염(태양 표면에서 솟구치는 가스 기둥), 두드러짐	3
prominences	n.	홍염들(태양 표면에서 솟구치는 가스 기둥들)	3
radio	n., adj.	전파, 무선; 전파의	1
real-time	adj.	실시간의(일이 벌어지는 즉시 처리하는)	2
realize	v.	깨닫다, 실현하다	2
recent	adj.	최근의	1
reduced	adj.	줄어든, 감소된	2
reduced-gravity	adj.	저중력의(중력이 약해진 상태의)	3
refinement	n.	개선, 정밀하게 다듬기	3
reliable	adj.	믿을 만한, 신뢰할 수 있는	2
rely	v.	의존하다, 믿고 맡기다	2
relying	v.	의존하는(rely의 -ing형)	2
repetitive	adj.	반복적인, 되풀이되는	2
revolutionize	v.	혁신하다, 대변혁을 일으키다	3
rhythm	n.	리듬, 주기적인 흐름	2
safeguarding	n., v.	보호, 지켜내기; 보호하는	3
san	pn.	샌(샌프란시스코 San Francisco 등 지명의 앞말, 스페인어로 '성(聖)')	3
satellites	n.	인공위성, 위성	2
saudi	pn.	사우디(사우디아라비아 Saudi Arabia의 앞말)	3
scatter	v.	산란시키다(빛을 흩뜨리다), 흩어지다	3
screening	n.	선별, 걸러내기	2
sensors	n.	감지기, 센서	2
sequences	n.	연속 자료, 순서, 이어진 장면	2
silicon	n.	규소, 실리콘(반도체를 만드는 재료)	3
silvery	adj.	은빛의, 은처럼 반짝이는	3
skywatchers	n.	하늘 관측자들, 천체 관측을 즐기는 사람들	3
sliding-window	adj.	이동 구간 방식의(자료를 일정 구간씩 밀어가며 보는)	3
southern	adj.	남쪽의, 남부의	1
specialized	adj.	전문화된, 특수 목적의	2
subscribe	v.	구독하다, 정기 신청하다	2
subtle	adj.	미묘한, 알아채기 어려운	3
sunrise	n.	일출, 해돋이	1
super-hot	adj.	초고온의, 엄청나게 뜨거운	2
supercomputing	n.	슈퍼컴퓨팅(초고속 대형 컴퓨터로 하는 계산)	3
supplements	n., v.	보충물, 부록; 보충하다	2
swath	n.	관측 폭(위성이 한 번에 훑는 띠 모양 구역), 넓은 띠	3
task	n., v.	임무, 과제; 임무를 맡기다	1
technique	n.	기법, 기술	2
test	n., v.	시험, 실험; 시험하다	1
threaten	v.	위협하다, 위태롭게 하다	2
thurairajah	pn.	투라이라자(연구자의 성)	3
time-based	adj.	시간을 기준으로 한	2
timeline	n.	일정표, 시간 흐름	2
tiny	adj.	아주 작은	1
training	n.	훈련, 학습(인공지능을 자료로 가르치기)	2
transformer	n.	트랜스포머(자료의 앞뒤 관계를 학습하는 인공지능 구조), 변압기	3
transition	n., v.	전환, 옮겨 감; 바뀌다	2
twisted	adj.	뒤틀린, 꼬인	2
umbra	n.	본그림자(해가 완전히 가려지는 짙은 그림자 부분)	3
universe	n.	우주, 삼라만상	2
unsure	adj.	확신이 없는, 잘 모르는	2
up-to-date	adj.	최신의, 최신 정보를 반영한	2
ve	v.	have의 축약형 뒷부분(we've, I've의 've)	1
verified	adj., v.	검증된, 사실로 확인된	2
verify	v.	검증하다, 사실인지 확인하다	2
vital	adj.	필수적인, 매우 중요한	2
volatile	adj.	변동이 심한, 불안정한, 휘발성의	3
volunteers	n., v.	자원봉사자, 지원자; 자원하다	2
wb-	pn.	WB-57(NASA의 고고도 관측 항공기)의 앞부분(추정)	3
well-suited	adj.	잘 맞는, 아주 적합한	2
wrenches	n.	렌치(볼트·너트를 조이는 공구)	2
yemen	pn.	예멘(아라비아반도 남쪽 끝의 나라)	3
