nasa	pn.	미국항공우주국(National Aeronautics and Space Administration)	3
center	n.	센터, 연구소, 중심	1
solar	adj.	태양의, 태양열의	2
research	n., v.	연구, 조사, 연구하다	2
technology	n.	기술, 과학기술	2
aerospace	n., adj.	항공우주(산업), 항공우주의	3
eclipse	n., v.	식(해나 달이 가려지는 현상), 일식, 가리다	3
kennedy	pn.	케네디 우주센터(미국 플로리다의 NASA 발사 기지)	3
teams	n.	팀들, 조들	1
team	n.	팀, 조	1
aircraft	n.	항공기, 비행기	2
competition	n.	대회, 경진대회, 경쟁	2
concepts	n.	개념, 구상안, 아이디어	2
max	n.	최대치, 최고, 맥스(사람 이름)	2
coffies	pn.	COFFIES(태양 내부의 자기장과 흐름을 연구하는 NASA 태양물리 연구센터)	3
rasc-al	pn.	RASC-AL(NASA가 여는 대학생 우주탐사 설계 경진대회)	3
regions	n.	지역, 영역, 활동영역(태양 표면의 자기장이 강한 곳)	2
active	adj.	활발한, 활동 중인	1
project	n., v.	사업, 계획, 예상하다	2
science	n.	과학, 학문	1
spain	pn.	스페인(유럽 남서부의 나라)	3
agency	n.	기관, 청, 대행사	2
data	n.	자료, 데이터	1
florida	pn.	플로리다(미국 남동부의 주, 케네디 우주센터가 있는 곳)	3
innovation	n.	혁신, 새로운 기술	2
magnetic	adj.	자기의, 자석의	2
scientists	n.	과학자들	1
totality	n.	개기(식) 상태(해가 완전히 가려진 때), 전체	3
video	n.	영상, 동영상	1
activity	n.	활동, (태양) 활동	2
american	adj., n.	미국의, 미국인	1
astronauts	n.	우주비행사들	2
developed	v.	개발했다, 발전시켰다(develop의 과거형)	2
exploration	n.	탐사, 탐험	2
lunar	adj.	달의, 달 탐사의	3
namai	pn.	나마이(기사에 나오는 사람의 이름)(추정)	3
nlcs	pn.	야광운(noctilucent clouds, 밤에 빛나 보이는 아주 높은 구름)(추정)	3
technologies	n.	기술들, 여러 기술	2
total	adj., n.	전체의, 개기의(해가 완전히 가려지는), 합계	1
acoustic	adj.	소리의, 음향의	3
ai	n.	인공지능(artificial intelligence)	2
analysis	n.	분석	2
artemis	pn.	아르테미스(사람을 다시 달에 보내려는 NASA의 달 탐사 계획)	3
directorate	n.	본부, 국(기관 안의 큰 조직 단위)	3
gov	n.	정부(government)의 줄임말, 미국 정부 기관 인터넷 주소(.gov)	2
including	prep.	~을 포함하여	1
innovators	n.	혁신가들, 새 기술을 만들어내는 사람들	3
media	n.	언론, 매체	2
region	n.	지역, 영역	2
student	n.	학생	1
sunspots	n.	흑점(태양 표면의 어둡고 자기장이 강한 점)	3
aims	v.	목표로 하다, 겨누다	2
armstrong	pn.	암스트롱 비행연구센터(미국 캘리포니아의 NASA 비행시험 기지)	3
article	n.	기사, 글	2
autonomous	adj.	자율의, 스스로 판단해 움직이는	3
aviation	n.	항공, 비행	3
capabilities	n.	능력, 성능	2
challenge	n., v.	과제, 대회, 도전하다	2
complex	adj., n.	복잡한, 복합 단지	2
contribute	v.	기여하다, 이바지하다	2
corona	n.	코로나(태양을 둘러싼 바깥 대기)	3
development	n.	개발, 발전	2
explorers	n.	탐험가들, 탐사하는 사람들	2
forecasting	n., v.	예보, 예측하기	3
historic	adj.	역사적인, 역사에 남을 만한	2
iceland	pn.	아이슬란드(북대서양의 섬나라)	3
interior	n., adj.	내부, 안쪽의	2
leaders	n.	지도자들, 이끄는 사람들	1
locations	n.	장소, 위치	2
nation	n.	국가, 나라	2
observatory	n.	관측소, 천문대	3
oct	n.	10월(October의 줄임말)	1
operational	adj.	실제 운용되는, 운영상의	3
partial	adj.	부분적인, 부분식의(해가 일부만 가려지는)	2
photo	n.	사진	1
pipeline	n.	처리 과정(단계가 이어진 흐름), 송유관	2
predicting	v.	예측하기, 미리 알아내기	2
