paralyzed	adj., v.	마비된, (공포로) 몸이 굳은	2
pattern	n.	무늬, 본보기, 유형	1
peacefully	adv.	평화롭게, 조용히	1
pears	n.	배(과일)	1
peculiarly	adv.	특이하게, 유난히	2
peril	n.	위험	2
periodicals	n.	정기 간행물, 잡지	3
perishing	v., adj.	죽어 가는, 소멸하는	2
perplexity	n.	당혹, 난처함	2
persistently	adv.	끈질기게, 집요하게	2
personating	v.	~인 체하다, 흉내내다(impersonate의 옛 형태)	3
petition	n., v.	탄원(서), 청원하다	2
pistol	n.	권총	2
plaited	v., adj.	땋은, 땋다	3
poem	n.	시	1
pomp	n.	화려한 의식, 허례	3
pon	prep.	~에(upon의 구어 축약; 'pon my word 등)	3
pone	n.	옥수수빵(미국 남부)	3
pore	v., adj.	골똘히 들여다보다; 가엾은(poor의 사투리)	3
possessed	v., adj.	소유한, (귀신에) 홀린	2
premises	n.	구내, 집과 대지	2
pried	v.	비집어 열다, 캐묻다	2
prime	adj., n.	최고의, 근사한, 한창때	2
prodigious	adj.	엄청난, 거대한	3
proposed	v.	제안했다	1
puff	n., v.	한 모금, 훅 불다, (담배를) 뻐끔 피우다	2
pup	n.	강아지	1
pushing	v.	밀다	1
quantity	n.	양, 분량	1
quest	n.	탐색, 추구	2
raked	v.	갈퀴로 긁다, 샅샅이 뒤지다	2
ransom	n.	몸값	2
recalling	v.	떠올리다, 회상하다	2
recognition	n.	알아봄, 인정	2
recreations	n.	오락, 기분전환	2
reform	v., n.	개심하다, 개혁(하다)	2
reg'lar	adj., adv.	진짜, 완전한(regular의 사투리)	3
released	v.	풀어 주다, 놓아 주다	1
relentlessly	adv.	가차없이, 끈질기게	2
religion	n.	종교	1
religious	adj.	종교적인, 신앙심 깊은	1
repetition	n.	반복	1
represented	v.	나타내다, 대표하다	1
representing	v.	나타내다, 대표하다	1
rescue	v., n.	구조하다, 구출	1
resembled	v.	닮았다	2
responded	v.	대답했다, 반응했다	1
resurrection	n.	부활	2
revengeful	adj.	복수심에 불타는	3
revive	v.	되살리다, 되살아나다	2
richard	n.	리처드(사람 이름)	1
rift	n.	틈, 균열	3
river-bank	n.	강둑	1
robinson	n.	로빈슨(사람 이름; 살해당한 의사)	1
s	?	비단어	0
sabbath	n.	안식일(일요일)	2
sabbath-school	n.	주일학교	3
sackcloth	n.	거친 삼베(회개·비탄의 상징)	3
sacks	n.	자루, 부대	1
satan	n.	사탄, 악마	2
scheme	n.	계획, 계략	2
schoolyard	n.	학교 운동장	1
