newspapers	n.	신문(들)	1
next-day	adj.	다음 날의, 이튿날의	1
niagara	n.	나이아가라(폭포; 고유명사)	3
nibbled	v.	조금씩 갉아먹었다, 야금야금 먹었다	2
nibbling	v.	조금씩 갉아먹는, 야금야금 깨무는	2
nobby	adj.	멋진, 세련된(19세기 속어)	3
nobility	n.	고귀함, 귀족(계급)	2
nobler	adj.	더 고귀한, 더 숭고한	2
noblest	adj.	가장 고귀한, 가장 숭고한	2
non-committal	adj.	확답을 피하는, 애매한 태도의	3
non-participating	adj.	참여하지 않는, 끼지 않는	3
non-presbyterians	n.	장로교 신자가 아닌 사람들	3
noonday	n.	정오, 한낮	2
north	n., adj., adv.	북쪽(의/으로)	1
notable	adj., n.	주목할 만한, 유명한, 유명 인사	2
notably	adv.	특히, 두드러지게	2
noteworthy	adj.	주목할 만한	2
nothingness	n.	무(無), 허무, 공허	3
nottingham	n.	노팅엄(잉글랜드 도시; 로빈 후드 이야기의 지명)	3
novices	n.	초보자들, 풋내기들	2
nowadays	adv.	요즘에는	1
nuisance	n.	성가신 것, 골칫거리	2
numerous	adj.	수많은	1
numskull	n.	바보, 멍청이(구어)	3
nun	n.	수녀	2
nursed	v.	간호했다, 돌봤다, (감정을) 품었다	2
nuts	n.	견과(호두·도토리 등)	1
o'erfull	adj.	넘치도록 가득 찬(overfull의 시적 표현)	3
oaken	adj.	참나무로 만든(문학어)	3
oatmeal	n.	오트밀, 귀리죽	2
obedient	adj.	순종하는, 말 잘 듣는	1
obleeged	adj.	고마운, 신세 진(obliged의 사투리)	3
observers	n.	관찰자들, 지켜보는 사람들	2
obtruded	v.	억지로 끼어들었다, 불쑥 내밀었다	3
occupying	v.	차지하는, (시간·마음을) 채우는	2
odious	adj.	몹시 싫은, 혐오스러운	3
odor	n.	냄새, 악취	2
offense	n.	잘못, 죄, 기분 상함	2
offerings	n.	바치는 것, 헌금, 제물	2
oiled	v., adj.	기름을 바른, 기름칠한	2
omniscient	adj.	전지한, 모든 것을 아는	3
on-looking	adj.	구경하는, 지켜보는	3
one-horse	adj.	말 한 필이 끄는, 보잘것없는(작은 시골의)	3
opposers	n.	반대자들	3
oppressiveness	n.	답답함, 숨 막힘, 억압적임	3
opulent	adj.	호화로운, 풍부한	3
orange-peel	n.	오렌지 껍질	2
oration	n.	연설, 웅변	3
oriental	adj.	동양의, 동방의	2
ornery	adj.	성질 고약한, 고집 센(미국 구어)	3
orter	v.	~해야 한다(ought to의 사투리)	3
outburst	n.	(감정의) 폭발, 분출	2
outcry	n.	외침, 항의, 절규	2
outlines	n.	윤곽, 개요	2
outlying	adj.	외딴, 변두리의	3
outrageousness	n.	터무니없음, 무도함	3
outspoken	adj.	거리낌 없이 말하는, 솔직한	2
over-descriptive	adj.	지나치게 묘사가 많은	3
over-fondled	adj.	지나치게 귀여움 받은, 너무 만지작거려진	3
overboard	adv.	배 밖으로	2
overflowed	v.	넘쳐흘렀다	2
overflowings	n.	넘쳐흐름, 범람	3
overhanging	adj.	위로 튀어나온, 돌출한	2
p'inted	v., adj.	가리켰다, 뾰족한(pointed의 사투리)	3
p'ison	n., v.	독, 독살하다(poison의 사투리)	3
p'raps	adv.	아마(perhaps의 구어 축약)	3
pa	n.	아빠(구어)	1
paddled	v.	노를 저었다, 첨벙거렸다	2
paleness	n.	창백함	2
paler	adj.	더 창백한	1
pallet	n.	짚 깔개, 초라한 잠자리	3
palsy	n.	마비, 중풍(떨림)	3
pantalettes	n.	팬털렛(19세기 소녀들이 치마 밑에 입던 긴 속바지)	3
pantaloons	n.	판탈롱, 바지(옛말)	3
paraded	v.	행진했다, 뽐내며 걸었다	2
parcel	n.	꾸러미, 소포, 한 무리	2
pardon	n., v.	용서(하다), 사면	1
pardon-petition	n.	사면 청원서	3
parson	n.	목사(구어)	3
partiality	n.	편애, 특별히 좋아함	3
partic'lar	adj.	특별한, 까다로운(particular의 구어)	3
passenger-coaches	n.	여객 마차, 객차	3
passengers	n.	승객들	1
patch-eyed	adj.	안대를 한, 눈에 헝겊을 댄	3
pathless	adj.	길 없는	3
patting	v.	가볍게 두드리는, 토닥이는	1
peach	n.	복숭아	1
peculiarity	n.	특이함, 독특한 점	2
peered	v.	자세히 들여다보았다, 응시했다	2
peering	v.	응시하는, 들여다보는	2
pencil	n.	연필	1
pent	adj.	갇힌, 억눌린	3
per'aps	adv.	아마(perhaps의 사투리)	3
perceived	v.	알아차렸다, 인식했다	2
performers	n.	연기자들, 공연자들	2
perished	v.	죽었다, 사라졌다	2
permanency	n.	영속성, 영구함	3
permanently	adv.	영구히	2
persecuted	v.	박해했다, 괴롭혔다	2
persecution	n.	박해, 괴롭힘	2
personage	n.	명사(名士), 중요 인물	3
perspiring	v.	땀 흘리는	2
persuasions	n.	설득, 종파(옛말)	3
persuasively	adv.	설득력 있게	2
petitioner	n.	청원자, 탄원자	3
pew-back	n.	교회 좌석 등받이	3
philosopher	n.	철학자	2
phrases	n.	구절, 표현	1
phrenological	adj.	골상학의(두개골 모양으로 성격을 판단하던 옛 학문)	3
phrenologist	n.	골상학자	3
physicians	n.	의사들	2
picnickers	n.	소풍객들	2
picture-book	n.	그림책	1
pillared	adj.	기둥이 있는	3
pills	n.	알약	1
pinched	v., adj.	꼬집었다, 오그라든, 수척한	2
pink	n., adj.	분홍색(의)	1
